object_id,name,location_label,location_name,type,accession,negative_number,upload_fname
10733,bone pin,,,,1938.969,1938'970~01,"Dura-Europos archival photograph, YUAG negative number 1938'970~01 -object-id-10733.jpg"
10734,bone pin,,,,1938.958,1938'969~01,"Dura-Europos archival photograph, YUAG negative number 1938'969~01 -object-id-10734.jpg"
10736,bone pin,,,,1938.941,1938'949~01,"Dura-Europos archival photograph, YUAG negative number 1938'949~01 -object-id-10736.jpg"
10737,bone pin,,,,1938.927,1938'941~01,"Dura-Europos archival photograph, YUAG negative number 1938'941~01 -object-id-10737.jpg"
10741,bone pin,,,,1938.919,1938'921~01,"Dura-Europos archival photograph, YUAG negative number 1938'921~01 -object-id-10741.jpg"
10742,bone pin,,,,1938.918,1938'919~01,"Dura-Europos archival photograph, YUAG negative number 1938'919~01 -object-id-10742.jpg"
10743,bone pin,,,,1938.916,1938'918~01,"Dura-Europos archival photograph, YUAG negative number 1938'918~01 -object-id-10743.jpg"
10744,bone pin,,,,1938.914,1938'916~01,"Dura-Europos archival photograph, YUAG negative number 1938'916~01 -object-id-10744.jpg"
10746,bone pin,,,,1938.911,1938'913~01,"Dura-Europos archival photograph, YUAG negative number 1938'913~01 -object-id-10746.jpg"
10747,bone pin,,,,1938.907,1938'911~01,"Dura-Europos archival photograph, YUAG negative number 1938'911~01 -object-id-10747.jpg"
10748,bone pin,,,,1938.904,1938'907~01,"Dura-Europos archival photograph, YUAG negative number 1938'907~01 -object-id-10748.jpg"
10749,bone pin,,,,1938.903,1938'904~01,"Dura-Europos archival photograph, YUAG negative number 1938'904~01 -object-id-10749.jpg"
10750,bone pin,,,,1938.902,1938'903~01,"Dura-Europos archival photograph, YUAG negative number 1938'903~01 -object-id-10750.jpg"
10751,bone pin,,,,1938.889,1938'902~01,"Dura-Europos archival photograph, YUAG negative number 1938'902~01 -object-id-10751.jpg"
10752,bone pin,,,,1938.887,1938'889~01,"Dura-Europos archival photograph, YUAG negative number 1938'889~01 -object-id-10752.jpg"
10753,bone pin,,,,1938.88,1938'887~01,"Dura-Europos archival photograph, YUAG negative number 1938'887~01 -object-id-10753.jpg"
10754,bone pin,,,,1938.875,1938'880~01,"Dura-Europos archival photograph, YUAG negative number 1938'880~01 -object-id-10754.jpg"
10755,bone pin,,,,1938.873,1938'875~01,"Dura-Europos archival photograph, YUAG negative number 1938'875~01 -object-id-10755.jpg"
10756,bone pin,,,,1938.872,1938'873~01,"Dura-Europos archival photograph, YUAG negative number 1938'873~01 -object-id-10756.jpg"
10757,bone pin,,,,1938.865,1938'872~01,"Dura-Europos archival photograph, YUAG negative number 1938'872~01 -object-id-10757.jpg"
10758,bone pin,,,,1938.864,1938'865~01,"Dura-Europos archival photograph, YUAG negative number 1938'865~01 -object-id-10758.jpg"
10760,bone pin,,,,1938.859,1938'863~01,"Dura-Europos archival photograph, YUAG negative number 1938'863~01 -object-id-10760.jpg"
10761,bone spindle frag.,,,,1938.729a (?),1938'859~01,"Dura-Europos archival photograph, YUAG negative number 1938'859~01 -object-id-10761.jpg"
10762,bone pendant,,,,1938.719,1938'729~01,"Dura-Europos archival photograph, YUAG negative number 1938'729~01 -object-id-10762.jpg"
10764,bone doll arm,,,,1938.711,1938'712~01,"Dura-Europos archival photograph, YUAG negative number 1938'712~01 -object-id-10764.jpg"
10765,bone doll arm,,,,1938.699,1938'711~01,"Dura-Europos archival photograph, YUAG negative number 1938'711~01 -object-id-10765.jpg"
10768,bone counter,,,,1938.648,1938'649~01,"Dura-Europos archival photograph, YUAG negative number 1938'649~01 -object-id-10768.jpg"
10769,bone counter,,,,1938.642,1938'648~01,"Dura-Europos archival photograph, YUAG negative number 1938'648~01 -object-id-10769.jpg"
10770,bone button,,,,1938.637,1938'642~01,"Dura-Europos archival photograph, YUAG negative number 1938'642~01 -object-id-10770.jpg"
10771,bone button,,,,1938.636,1938'637~01,"Dura-Europos archival photograph, YUAG negative number 1938'637~01 -object-id-10771.jpg"
10772,bone button,,,,1938.627,1938'636~01,"Dura-Europos archival photograph, YUAG negative number 1938'636~01 -object-id-10772.jpg"
10773,bone spindle,,,,1938.5737,1938'627~01,"Dura-Europos archival photograph, YUAG negative number 1938'627~01 -object-id-10773.jpg"
10774,pottery frag.,,,,1938.5711,1938'5737~01,"Dura-Europos archival photograph, YUAG negative number 1938'5737~01 -object-id-10774.jpg"
10775,pottery frag.,,,,1938.516a,1938'5711~01,"Dura-Europos archival photograph, YUAG negative number 1938'5711~01 -object-id-10775.jpg"
10776,bone pin,,,,1938.5146a,1938'516a~01,"Dura-Europos archival photograph, YUAG negative number 1938'516a~01 -object-id-10776.jpg"
10777,pottery frag.,,,,1938.5142,1938'5146a~01,"Dura-Europos archival photograph, YUAG negative number 1938'5146a~01 -object-id-10777.jpg"
10778,pottery frag.,,,,1938.513a,1938'5142~01,"Dura-Europos archival photograph, YUAG negative number 1938'5142~01 -object-id-10778.jpg"
10779,ring,,,,1938.5139,1938'513a~01,"Dura-Europos archival photograph, YUAG negative number 1938'513a~01 -object-id-10779.jpg"
10780,pottery frag.,,,,1938.5137,1938'5139~01,"Dura-Europos archival photograph, YUAG negative number 1938'5139~01 -object-id-10780.jpg"
10781,pottery frag.,,,,1938.5133,1938'5137~01,"Dura-Europos archival photograph, YUAG negative number 1938'5137~01 -object-id-10781.jpg"
10782,pottery frag.,,,,1938.5132,1938'5133~01,"Dura-Europos archival photograph, YUAG negative number 1938'5133~01 -object-id-10782.jpg"
10783,pottery frag.,,,,1938.5128,1938'5132~01,"Dura-Europos archival photograph, YUAG negative number 1938'5132~01 -object-id-10783.jpg"
10784,pottery frag.,,,,1938.5121,1938'5128~01,"Dura-Europos archival photograph, YUAG negative number 1938'5128~01 -object-id-10784.jpg"
10785,pottery frag.,,,,1938.5098,1938'5121~01,"Dura-Europos archival photograph, YUAG negative number 1938'5121~01 -object-id-10785.jpg"
10786,ribbed pottery frag.,,,,1938.5025,1938'5098~01,"Dura-Europos archival photograph, YUAG negative number 1938'5098~01 -object-id-10786.jpg"
10787,pottery frag.,,,,1938.4979a,1938'5025~01,"Dura-Europos archival photograph, YUAG negative number 1938'5025~01 -object-id-10787.jpg"
10788,orange pottery frag.,,,,1938.495,1938'4979a~01,"Dura-Europos archival photograph, YUAG negative number 1938'4979a~01 -object-id-10788.jpg"
10790,glass fragment,,,,1929.388e,1929'388o~01,"Dura-Europos archival photograph, YUAG negative number 1929'388o~01 -object-id-10790.jpg"
10792,common ware lamp,,,,1938.4749,1938'4752~01,"Dura-Europos archival photograph, YUAG negative number 1938'4752~01 -object-id-10792.jpg"
10802,common ware lamp,,,,1938.4701,1938'4703~01,"Dura-Europos archival photograph, YUAG negative number 1938'4703~01 -object-id-10802.jpg"
10805,common ware lamp,,,,1938.4662,1938'4668~01,"Dura-Europos archival photograph, YUAG negative number 1938'4668~01 -object-id-10805.jpg"
10811,common ware lamp,,,,1938.4647,1938'4651~01,"Dura-Europos archival photograph, YUAG negative number 1938'4651~01 -object-id-10811.jpg"
10816,neck of pottery vessel,,,,1938.4562,1938'4601~01,"Dura-Europos archival photograph, YUAG negative number 1938'4601~01 -object-id-10816.jpg"
10817,Bronze Stylus,,,,1938.275,1938'2797~01,"Dura-Europos archival photograph, YUAG negative number 1938'2797~01 -object-id-10817.jpg"
10818,carnelian bead,,,,1938.4391,1938'4398~01,"Dura-Europos archival photograph, YUAG negative number 1938'4398~01 -object-id-10818.jpg"
10820,amethyst bead,,,,1938.4389,1938'4390~01,"Dura-Europos archival photograph, YUAG negative number 1938'4390~01 -object-id-10820.jpg"
10822,beads,,,,1938.4295b,1938'4298~01,"Dura-Europos archival photograph, YUAG negative number 1938'4298~01 -object-id-10822.jpg"
10823,faience bead,,,,1938.4295a,1938'4295b~01,"Dura-Europos archival photograph, YUAG negative number 1938'4295b~01 -object-id-10823.jpg"
10824,faience bead,,,,1938.4278,1938'4295a~01,"Dura-Europos archival photograph, YUAG negative number 1938'4295a~01 -object-id-10824.jpg"
10825,quartz bead,,,,1938.396,1938'4278~01,"Dura-Europos archival photograph, YUAG negative number 1938'4278~01 -object-id-10825.jpg"
10826,bone doll head,,,,1938.3542,1938'396~01,"Dura-Europos archival photograph, YUAG negative number 1938'396~01 -object-id-10826.jpg"
