object_id,name,link,image_link,location_label,location_name,type,accession,negative_number,image_source,image_type
13612,"Main Gate (Palmyrene Gate), SE tower, upper level",https://library.artstor.org/#/asset/SS7730479_7730479_10870877,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895314.fpx/full/1024,/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),field,,dura-b32~01,Dura field photo,glass negative
13611,View of Main Gate (Palmyrene Gate) from NW,https://library.artstor.org/#/asset/SS7730479_7730479_10870882,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895315.fpx/full/,1024/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),field,,dura-b320~01,Dura field photo,film negative
13609,"Main Gate (Palmyrene Gate), SW tower from SE",https://library.artstor.org/#/asset/SS7730479_7730479_10835333,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895317.fpx/full/,1024/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),field,,dura-b35~01,Dura field photo,glass negative
13608,"Main Gate (Palmyrene Gate), SW tower interior, steps",https://library.artstor.org/#/asset/SS7730479_7730479_10870895,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895318.fpx/full/,1024/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),field,,dura-b36~01,Dura field photo,glass negative
13607,"Main Gate (Palmyrene Gate), SW Tower, supporting pier for flight of steps",https://library.artstor.org/#/asset/SS7730479_7730479_10870900,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895319.fpx/full/,1024/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),field,,dura-b37~01,Dura field photo,glass negative
13606,"Main Gate (Palmyrene Gate), NW tower, upper level",https://library.artstor.org/#/asset/SS7730479_7730479_10870907,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895320.fpx/full/1024,/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),field,,dura-b38~01,Dura field photo,glass negative
13605,"Main Gate (Palmyrene Gate), SW Tower looking toward NW corner, window in w. face, upper level",https://library.artstor.org/#/asset/SS7730479_7730479_10870915,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895321.fpx/full/,1024/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),field,,dura-b39~01,Dura field photo,glass negative
13604,"Main Gate (Palmyrene Gate), SE Tower, upper level",https://library.artstor.org/#/asset/SS7730479_7730479_10835338,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895322.fpx/full/1024,/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),field,,dura-b40~01,Dura field photo,glass negative
13603,"Main Gate (Palmyrene Gate), SE Tower, upper level floor beams",https://library.artstor.org/#/asset/SS7730479_7730479_10870920,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895323.fpx/full/1024,/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),field,,dura-b41~01,Dura field photo,glass negative
13602,"Main Gate (Palmyrene Gate), SE Tower, beams of upper flooring",https://library.artstor.org/#/asset/SS7730479_7730479_10870926,"https://stor.artstor.org/iiif/fpx/sslps/c7730479/3895324.fpx/full/1024,/0/default.jpg",Palmyrene Gate,Main Gate (Palmyrene Gate),field,,dura-b42~01,Dura field photo,glass negative
